id,name,Food Group,Images,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)",Serving Weight 1 (g),Serving Description 1 (g),Column1
782001,Lamb Loin Chop Cooked Lean Only Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuTjC_czSHyWPzkdtqXLX8Dxq_KfvlhAj3Wg&s,214,9.65,29.74,0,0,0,94,3.451,19,1.99,373,28,NULL,50,"1 small (4 oz, with bone, raw) (yield after cooking, bone and fat removed)",
782004,Lamb Shoulder Chop Cooked Lean Only Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRazWCz9leJyMkCOu5HULDPZuHBvraHBwUFg&s,202,10.68,24.73,0,0,0,86,4.046,19,2.12,263,25,NULL,72,"1 small (5.5 oz, with bone, raw) (yield after cooking, bone and fat removed)",
782005,Lamb Ribs Cooked Lean Only Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThQ_tHSiasDXr6oSsqy-1uYqirlq-_1fmUBg&s,233,12.84,27.51,0,0,0,90,4.611,16,2.19,310,29,NULL,25,"1 rib (yield after cooking, bone and fat removed)",
782008,Lamb Hocks Cooked,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXZp8FERec1w01vNttQRexdtTGnU11UWOEng&s,241,13.35,28.13,0,0,0,105,5.583,20,2.12,255,22,NULL,19,"1 oz, with bone, cooked (yield after bone removed)",
782011,Lamb Roast Cooked Lean Only Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSD4FvgNutmi9Ww2pqcaqfua9pm83-FfP42jw&s,196,9.18,26.4,0,0,0,87,3.392,14,2.11,299,25,NULL,14,"1 thin slice (approx 3"" dia x 1/8"")",
782012,Lamb Ground Or Patty Cooked,Meats,https://thewealmeal.com/wp-content/uploads/2020/01/lambburgermain.jpg?w=1024&h=666&crop=1,281,19.49,24.54,0,0,0,96,8.052,22,1.78,336,24,NULL,77,"1 patty (4 oz, raw) (yield after cooking)",
782013,Goat Boiled,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS23hK0ISzIWXMreauky-UeAcsSUxel1sCbUw&s,142,3,26.87,0,0,0,74,0.922,17,3.7,402,0,NULL,28,"1 oz, boneless, cooked",
782014,Goat Fried,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRROny2-sGsYObklLg_kuXcwIiLOGTOMk1UCw&s,153,4.52,26.46,0,0,0,73,1.152,17,3.64,395,0,NULL,28,"1 oz, boneless, cooked",
782015,Goat Baked,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyZt8pl39t8bZSpVboq4tkdILGaVLpzFczvg&s,142,3,26.87,0,0,0,74,0.922,17,3.7,402,0,NULL,28,"1 oz, boneless, cooked",
782017,Goat Ribs Cooked,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxIfvosR8DBTY2v2_0-vxopTkovSZ5QBf4rA&s,142,3,26.87,0,0,0,74,0.922,17,3.7,402,0,NULL,46,"1 rib (yield after cooking, bone removed)",
782043,Mock Chicken Legs Cooked,Meats,https://i.ytimg.com/vi/eFFtVjz-6DM/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDuosv-IDQbI8X76PPCB0uFOBVKTQ,234,13.79,20.75,5.27,0.02,0.2,87,4.346,22,1.13,286,22,NULL,28,"1 oz, cooked",
782090,Chicken Ns As To Part Grilled With Sauce Skin Not Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7HdsCn6ww3aL0UNPFs42FlFzDRiKWB4QnOg&s,180,6.36,21.98,7.31,5.96,0.2,92,1.372,13,0.75,290,23,NULL,165,"1 cup, cooked, diced",
782092,Chicken Ns As To Part Sauteed Skin Not Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7HdsCn6ww3aL0UNPFs42FlFzDRiKWB4QnOg&s,179,7.2,26.74,0,0,0,112,1.609,8,0.78,304,25,NULL,135,"1 cup, cooked, diced",
782093,Chicken Ns As To Part Fried Coated Skin / Coating Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7HdsCn6ww3aL0UNPFs42FlFzDRiKWB4QnOg&s,251,15.02,21.75,7.14,0,0.2,100,3.999,44,0.86,264,24,NULL,135,"1 cup, cooked, diced",
782104,Chicken Breast Baked Or Broiled Skin Not Eaten From Fast Food / Restaurant,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7HdsCn6ww3aL0UNPFs42FlFzDRiKWB4QnOg&s,175,5.44,29.56,0,0,0,96,1.012,6,0.44,351,28,NULL,135,"1 cup, cooked, diced",
782110,Chicken Breast Stewed Skin Not Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6mPn_MJcOEVvyTfm_uSAICawbYa02oG3-2g&s,149,3.26,27.96,0,0,0,91,0.7,6,0.42,332,26,NULL,135,"1 cup, cooked, diced",
782112,Chicken Breast Grilled Without Sauce Skin Not Eaten,Meats,https://i.ytimg.com/vi/jrDjMhQRwDM/maxresdefault.jpg,176,5.45,29.62,0,0,0,96,1.014,6,0.44,352,28,NULL,135,"1 cup, cooked, diced",
782114,Chicken Breast Grilled With Sauce Skin Not Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEB5mhmz3GeKam3_L2C4j7n5hMyS9VRkMDFQ&s,178,4.93,24.33,7.34,5.98,0.2,78,0.886,11,0.48,329,25,NULL,165,"1 cup, cooked, diced",
782116,Chicken Breast Sauteed Skin Not Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaNW2ERcLd-rABZ2okkooV34AaVZQci-Ov_w&s,176,5.45,29.62,0,0,0,96,1.014,6,0.44,352,28,NULL,135,"1 cup, cooked, diced",
782287,Duck Cooked Skin Not Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8b46pYiX-h1NISibASjaGjDT8EKq6GXGy0A&s,200,11.15,23.38,0,0,0,89,3.934,12,2.69,251,20,NULL,220,"1/2 duck (yield after cooking, bone and skin removed)",
782289,Duck Roasted Skin Not Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThjz00i4rPha9BfFLCO6YjPKaHa_tkP27ybg&s,200,11.15,23.38,0,0,0,89,3.934,12,2.69,251,20,NULL,220,"1/2 duck (yield after cooking, bone and skin removed)",
782290,Duck Coated Fried,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSolxu89VWlA-cS4K30khJgVwhXWkUlQkdCew&s,225,10.92,22.3,7.95,0.14,0.2,102,3.721,18,2.94,265,19,NULL,115,"1 leg (drumstick and thigh) (yield after cooking, bone removed)",
782291,Duck Pressed Chinese,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQax85oAWXMNLlpf9xy6EwCQjmkzXE8t6weA&s,153,11.63,5.34,6.83,5.08,0.4,22,3.091,10,0.84,107,10,NULL,28,"1 oz, cooked",
782325,Frankfurter Wiener Or Hot Dog Nfs,Meats,https://s.yimg.com/ny/api/res/1.2/F1W1ZXU4F69yuSaIcHR2zg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTUzOQ--/https://media.zenfs.com/en/the_takeout_667/e72c69b311213d0c2016072de9fbb9c1,332,29.58,12.3,3.13,1.23,0,61,12.063,15,1.18,364,11,NULL,NULL,NULL,
782343,Bratwurst With Cheese,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZv4ruZUPk5hiCMUxVsSIdWBAMz6SIR6D8pA&s,337,29.44,14.16,2.94,0.23,0,77,10.804,130,0.54,326,22,NULL,75,1 bun-size or griller link,
782826,Beef With Tomato-Based Sauce,Meats,https://www.allrecipes.com/thmb/WlrNy9IKGkbR4uf2HtUPYUdH9_Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158140-Spaghetti-sauce-with-ground-beef-DDMFS-4x3-ce598bcb0b304eed966c81f95e24d57b.jpg,149,6.36,21.72,1.58,1.06,0.4,63,2.391,9,2.05,264,18,NULL,249,1 cup,
782827,Beef Goulash,Meats,https://i.ytimg.com/vi/kmvLyGMy9Wo/maxresdefault.jpg,102,3.78,13.69,2.79,1.07,0.4,35,1.135,17,1.39,263,18,NULL,249,1 cup,
782828,Beef Burgundy,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwZLa-zGFVLKaG0aEeOXTqA3fUpDYHjI96-g&s,146,5.94,18.5,4.06,1.45,0.7,52,1.77,20,1.88,360,23,NULL,244,1 cup,
782839,Beef Sloppy Joe No Bun,Meats,https://mylifecookbook.com/wp-content/uploads/2019/01/sloppy-joes-f2.jpg,138,6.77,10.78,8.75,6.35,0.9,34,2.562,26,1.52,317,18,NULL,251,1 cup,
782840,Beef With Gravy,Meats,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2023/10/5/FPLF213-mary-berg-peppercorn-roast-beef-with-onion-gravy_s4x3.jpg.rend.hgtvcom.1280.960.suffix/1696529537397.webp,156,7.05,21.56,1.58,0.09,0,64,2.568,8,1.79,188,15,NULL,244,1 cup,
782842,Beef With Cream Or White Sauce,Meats,https://www.flordeburgos.com/wp-content/uploads/2022/09/viernes-30-blog-1.jpg,186,9.44,22.5,2.74,1.31,0.1,65,3.229,40,1.86,222,18,NULL,256,1 cup,
782843,Beef Stroganoff,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXaM7YtBbarh3SaTEA-G_6_onaqvRUEcPHlg&s,149,9.45,9.98,6,1.35,0.7,36,3.265,38,0.94,204,15,NULL,256,1 cup,
782844,Creamed Chipped Or Dried Beef,Meats,https://www.allrecipes.com/thmb/vJcwE9QT9CRPGE_2NBoCUcciPQ4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-20225-creamed-chipped-beef-toast-ddmfs-hero-4x3-586656205e8a40fcaa832780d56fe13a.jpg,131,7.95,7.57,7.55,4.76,0.1,18,2.305,104,0.54,159,13,NULL,246,1 cup,
782846,Beef With Mushroom Sauce,Meats,https://www.savingdessert.com/wp-content/uploads/2022/04/Mushroom-Sauce-for-Steaks-6.jpg,163,7.53,21.96,1.84,0.59,0.1,63,2.694,19,1.8,202,16,NULL,256,1 cup,
782849,Beef Curry,Meats,https://maldivescook.com/wp-content/uploads/beef-curry.jpg,104,5.93,6.28,6.83,1.47,1.7,19,1.636,33,1.08,224,21,NULL,236,1 cup,
782850,Beef With Barbecue Sauce,Meats,https://www.allrecipes.com/thmb/UzBMAuRqqkqaY_l-Zay5WWcQI_g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/84156flank-steak-barbecueSheilaLaLonde4x3-c8e07ba3a66e44338a68d5ba675c00fa.jpg,187,6.23,20.86,11.75,9.58,0.3,61,2.309,14,1.89,236,17,NULL,263,1 cup,
782852,Stewed Seasoned Ground Beef Mexican Style,Meats,https://www.allrecipes.com/thmb/tQq1D3TigZEeysde4qL0LZ0N9D4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/229112-ground-beef-with-homemade-taco-seasoning-mix-DDMFS-4x3-719013d51e844a948c0b39cccb5ed908.jpg,194,14.58,13.5,1.31,0.41,0.2,54,5.559,19,1.65,242,15,NULL,222,1 cup,
782853,Steak Tartare,Meats,"https://images.immediate.co.uk/production/volatile/sites/30/2023/09/Steak-Tartare-c0d766e.jpg?resize=768,574",197,13.84,15.67,1.56,0.47,0.4,157,5.207,32,2.11,263,18,NULL,224,1 cup,
782854,Meatballs Puerto Rican Style,Meats,https://images.aws.nestle.recipes/resized/042d119cd3aa85df7eb2424db855eda5_puerto_rican_meatballs_long_left_1200_628.jpg,239,17.19,13.82,6.87,1.71,0.8,64,5.015,25,1.78,315,19,NULL,50,1 meatball with sauce,
782855,Stewed Seasoned Ground Beef Puerto Rican Style,Meats,https://keviniscooking.com/wp-content/uploads/2023/07/Puerto-Rican-Picadillo-Recipe-square.jpg,296,25.29,13.12,3.92,1.75,1,51,7.112,28,1.78,327,20,NULL,200,1 cup,
782856,Stewed Dried Beef Puerto Rican Style,Meats,https://scm-assets.constant.co/scm/ahold/9a888e72fca371869e751ab34491d024/5256bd2d-5dca-4582-90b5-3459b934a5ff.jpg#puerto-rican-beef-stew-carne-guisada,253,18.76,17.74,3.89,2.59,0.8,45,3.167,16,1.65,220,17,NULL,200,1 cup,
782857,Stuffed Pot Roast Puerto Rican Style Nfs,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoLLscRqJEJwsCRKyfVBghStowbaGCPcd76w&s,253,18.84,18.64,1.2,0.5,0.4,84,6.237,18,1.57,184,15,NULL,134,1 slice with gravy and stuffing,
782871,Frankfurters Or Hot Dogs With Tomato-Based Sauce,Meats,https://images.squarespace-cdn.com/content/v1/552f35bee4b0955308211538/1472550577651-QTDUMKYDZR3IMTK9VYT2/Yummy+Dogs+-+Put+Tomato+Sauce+on+Your+Hot+Dog+You%E2%80%99re+Breaking+the+Rules.jpg?format=750w,238,20.71,8.94,3.77,1.92,0.4,43,8.423,15,1.11,343,12,NULL,244,1 cup,
782877,Lamb Or Mutton Curry,Meats,https://www.yummytummyaarthi.com/wp-content/uploads/2015/02/1-2.jpg,94,5.58,4.48,7.05,1.52,1.7,12,1.544,34,0.96,224,21,NULL,236,1 cup,
782878,Stewed Goat Puerto Rican Style,Meats,https://www.foodrepublic.com/img/gallery/curried-goat-stew-with-orange-and-lime-rice-recipe/intro-import.jpg,260,17.71,22.39,2,0.89,0.5,63,3.496,21,3.06,386,5,NULL,177,1 cup,
782900,Chicken Shredded Or Pulled With Barbecue Sauce,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0WnvlkUteBTS-pT1CQ6UeAaSBNUAQ97ertQ&s,167,4.64,19,12.23,9.97,0.3,79,1.119,20,0.7,265,20,NULL,165,1 cup,
782903,Chicken Curry,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjXHEv6mih5K7VodCf74dRpmSWthjMrRN5dw&s,82,3.85,5.73,6.67,1.47,1.5,18,0.669,32,0.74,219,20,NULL,200,1/2 chicken breast with sauce,
782904,Chicken With Mole Sauce,Meats,https://howtofeedaloon.com/wp-content/uploads/2023/02/chicken-mole-IG.jpg,157,7.51,19.54,3.45,1.92,0.8,79,1.756,20,0.88,262,26,NULL,244,1 cup,
782911,Stuffed Chicken Drumstick Or Breast Puerto Rican Style,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4aepmWKwbPSI6R56WsqdFyrMACV6TChdFWQ&s,234,10.43,28.07,6.53,0.36,0.3,166,3.432,85,1.38,296,26,NULL,210,"1 breast (4"" x 3"" x 3/4"")",
782943,Meat With Barbecue Sauce Ns As To Type Of Meat,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJI-uib8CUXNtiOBMhZgA1zmtxDsAVrN70tQ&s,201,6.8,20.88,12.74,10.39,0.3,64,2.526,21,1.6,278,19,NULL,263,1 cup,
782944,Meatballs Ns As To Type Of Meat With Sauce,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjJMfDkeETaAfoEtp2Gx09IJYIYTHskP5wfQ&s,185,11.98,18.03,0.13,0.08,0,93,4.547,22,1.8,213,15,NULL,235,1 cup,
782945,Meat Loaf Puerto Rican Style,Meats,https://hispanicfoodnetwork.com/wp-content/uploads/2016/10/Pulpeta-Cuban-Meat-Loaf-Recipe.jpg,323,21.79,19.81,10.6,1.03,0.6,148,6.379,29,2.17,226,17,NULL,95,"1 serving (3"" x 1"" x 2"")",
782946,Meat With Tomato-Based Sauce,Meats,https://www.allrecipes.com/thmb/WlrNy9IKGkbR4uf2HtUPYUdH9_Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158140-Spaghetti-sauce-with-ground-beef-DDMFS-4x3-ce598bcb0b304eed966c81f95e24d57b.jpg,149,6.36,21.72,1.58,1.06,0.4,63,2.391,9,2.05,264,18,NULL,249,1 cup,
782950,Meat With Gravy Ns As To Type Of Meat,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPXprRvLZi5BXeiBUTeXRlapeDky7FEvAvvg&s,156,7.05,21.56,1.58,0.09,0,64,2.568,8,1.79,188,15,NULL,244,1 cup,
782957,Beef Roast Hash,Meats,https://www.simplyrecipes.com/thmb/E1-52Li6XHhbQqAt52FKdXHv8zQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2011__12__traditional-roast-beef-hash-horiz-a-1600-669fa5e75a224f94968e8dc88bd82b8f.jpg,158,7.43,11.34,11.05,1.05,1.2,30,2.225,11,1.31,310,19,NULL,190,1 cup,
782961,Beef And Noodles No Sauce,Meats,https://www.saltandlavender.com/wp-content/uploads/2022/08/beef-and-noodles-4-480x270.jpg,189,8.43,11.37,16.23,0.26,0.8,48,2.691,16,1.77,125,20,NULL,156,1 cup,
782962,Beef And Macaroni With Cheese Sauce,Meats,https://www.allrecipes.com/thmb/aFORuJeFcm1pfBvqJbe2-3t5Th8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/232850-cheese-and-hamburger-macaroni-ddmfs-1X2-0401-17e25e7d8d49491ca89197488dc64a43.jpg,137,5.38,9.1,12.38,1.62,0.5,24,2.165,50,1.06,140,16,NULL,246,1 cup,
782963,Beef And Noodles With Tomato-Based Sauce,Meats,https://www.simplyrecipes.com/thmb/imI057J7nJyNhSaayy6Do_fy3Yo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2008__03__penne-pasta-meat-sauce-method-7-1d08b06a315447deafc25ad01ef7e276.jpg,115,3.92,8.74,10.67,2.03,0.4,23,1.536,23,1.18,113,11,NULL,249,1 cup,
782964,Chili Con Carne With Beans And Macaroni,Meats,https://s44158.pcdn.co/wp-content/uploads/2021/11/GettyImages-1277542941-scaled-1.jpg,118,2.92,5.8,16.91,1.59,3,7,1.022,27,1.33,217,26,NULL,253,1 cup,
782965,Beef Goulash With Noodles,Meats,https://thecozyapron.com/wp-content/uploads/2020/01/beef-goulash_thecozyapron_1.jpg,142,5.1,12.5,10.88,0.83,0.7,37,1.41,18,1.61,211,21,NULL,249,1 cup,
782966,Beef And Noodles With Gravy,Meats,https://lh3.googleusercontent.com/CYkh6jCtRoqcg4X2Ou_SJJnkw2HEYy8_UO7JRT9_ma6Q-AR03hmmbmJOfM7lUqAlowcnY2s1dSKqKRKJw6fcDHIFeFdNIKuUYkE3qQ,138,5.07,7.7,15.39,0.32,0.7,32,1.215,11,1.24,75,16,NULL,249,1 cup,
782967,Beef And Noodles With Cream Or White Sauce,Meats,https://www.kindlyunspoken.com/wp-content/uploads/2022/09/How-to-Make-Cheesy-Ground-Beef-Noodle-Casserole-Easy-and-Delicious-Recipe-with-Egg-Noodles-and-Ground-Beef-7-scaled.jpg,141,5.46,7.86,15.01,1.48,0.6,29,1.545,42,1.19,101,17,NULL,249,1 cup,
782968,Beef Stroganoff With Noodles,Meats,https://tse1.mm.bing.net/th?id=OIP.g0QMsdUgM5pkJlNeNGNxTAHaHa&pid=Api&P=0&h=180,128,6.86,7.69,8.87,1,0.7,30,2.316,29,0.92,147,14,NULL,256,1 cup,
782969,Beef And Noodles With Mushroom Sauce,Meats,https://tse1.mm.bing.net/th?id=OIP.8nVVpB-xgCTYMdX8qCWUpAHaE8&pid=Api&P=0&h=180,136,5.13,7.53,14.97,0.82,0.8,28,1.259,22,1.16,89,15,NULL,249,1 cup,
782971,Beef And Rice No Sauce,Meats,https://poshjournal.com/wp-content/uploads/2020/09/instant-pot-ground-beef-and-rice.jpg,145,5,7.27,17.23,0.03,0.2,17,1.109,8,1.21,68,11,NULL,196,1 cup,
782973,Beef And Rice With Tomato-Based Sauce,Meats,https://i.ytimg.com/vi/GoxksUaA_dQ/maxresdefault.jpg,136,5.15,6.39,15.88,1.11,0.7,14,1.055,11,1.29,146,14,NULL,244,1 cup,
782975,Chili Con Carne With Beans And Rice,Meats,https://www.errenskitchen.com/wp-content/uploads/2019/02/Chili-con-carne-1200.jpg,112,2.72,5.07,16.65,1.44,2.6,7,0.976,28,1.31,210,24,NULL,250,1 cup,
782976,Beef And Rice With Gravy,Meats,https://i2.wp.com/smartypantskitchen.com/wp-content/uploads/2021/10/Beef-Tips-With-Rice-and-Gravy-Oct21-720x720.jpg,137,5.12,6.28,15.98,0.12,0.2,15,1.141,10,1.03,69,10,NULL,222,1 cup,
782977,Beef And Rice With Cream Sauce,Meats,https://i.ytimg.com/vi/nSuRLXOnRc4/maxresdefault.jpg,140,5.36,6.7,15.89,1.26,0.2,15,1.457,40,1.02,96,13,NULL,248,1 cup,
782978,Beef And Rice With Mushroom Sauce,Meats,https://i.ytimg.com/vi/nSuRLXOnRc4/maxresdefault.jpg,135,5.18,6.24,15.54,0.61,0.4,13,1.189,20,0.97,83,10,NULL,248,1 cup,
782981,Beef And Rice With Cheese Sauce,Meats,https://bigoven-res.cloudinary.com/image/upload/t_recipe-1280/quick-cheesy-beef-rice.jpg,143,5.34,8.06,14.78,0.23,0.4,24,2.254,33,1.35,109,12,NULL,248,1 cup,
782982,Meat Loaf Made With Beef,Meats,https://tse4.mm.bing.net/th?id=OIP._bSTF_ueCln5kVO4091KCgHaFj&pid=Api&P=0&h=180,199,10.65,17.43,7.22,1.89,0.5,74,3.928,57,2.09,275,19,NULL,86,1 small or thin slice,
782983,Meat Loaf Made With Beef With Tomato-Based Sauce,Meats,https://tse3.mm.bing.net/th?id=OIP.DuqnomrejaDMj5m_EzEbmQHaE8&pid=Api&P=0&h=180,159,8.3,13.74,6.79,2.27,0.7,57,3.045,47,1.83,280,18,NULL,109,1 small or thin slice,
782984,Beef Wellington,Meats,https://media1.popsugar-assets.com/files/thumbor/mdpVZXkf2dvqIU5N2nEMw9GDoNg/fit-in/2048xorig/filters:format_auto-!!-:strip_icc-!!-/2014/09/25/054/n/1922195/e3193653d46184b7_beef-wellington.jpg,368,27.35,19.1,10.1,0.12,0.4,83,9.55,9,3.3,268,20,NULL,116,1 slice,
782986,Creamed Dried Beef On Toast,Meats,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/59/63/7/cIhmLfmpRY762AvQeR7r_005.JPG",127,5.94,10.89,7.74,4.07,0.2,36,3.582,77,0.9,160,13,NULL,145,1 slice toast with sauce,
783007,Lamb Or Mutton Loaf,Meats,https://tse4.mm.bing.net/th?id=OIP.-XHOm5pyIpMe7FExTk3OjwHaEK&pid=Api&P=0&h=180,183,11.04,13.06,7.43,4.76,0.3,79,4.624,48,1.36,180,16,NULL,86,1 small or thin slice,
783010,Lamb Or Mutton And Noodles With Gravy,Meats,https://img.taste.com.au/M0NYtd2J/taste/2022/12/biang-biang-crispy-lamb-mince-noodles-183648-2.jpg,141,5.48,6.8,15.63,0.32,0.7,34,1.904,13,1.15,86,16,NULL,249,1 cup,
783075,Meat Loaf Ns As To Type Of Meat,Meats,https://www.budgetbytes.com/wp-content/uploads/2021/09/Classic-Meatloaf-side.jpg,202,10.96,17.42,7.21,1.89,0.5,75,4.117,57,2.09,272,19,NULL,86,1 small or thin slice,
783076,Meatballs With Breading Ns As To Type Of Meat With Gravy,Meats,https://tse3.mm.bing.net/th?id=OIP.ids3PTupMrdYld-JbjC9RQHaE8&pid=Api&P=0&h=180,144,7.53,12.28,6.32,1.26,0.5,47,2.883,38,1.56,202,13,NULL,235,1 cup,
783093,Shepherd's Pie With Beef,Meats,https://bakingmischief.com/wp-content/uploads/2018/03/easy-shepherds-pie-with-ground-beef-picture.jpg,109,3.16,6.36,14.16,1.36,1.4,12,0.845,15,0.77,294,18,NULL,243,1 cup,
783129,Beef Pot Pie,Meats,https://tse4.mm.bing.net/th?id=OIP.4iwdbMpIhDlTGJPh7CtPSAHaHa&pid=Api&P=0&h=180,223,13.5,7.99,17.09,0.9,1.2,16,3.468,11,1.55,167,15,NULL,227,"1 pie (8 oz, frozen, 4""-5"" dia)",
783132,Stuffed Green Pepper Puerto Rican Style,Meats,https://tse3.mm.bing.net/th?id=OIP.ed3UcTBPpfv_1m00zi0uwQHaE7&pid=Api&P=0&h=180,161,7.23,8.63,15.56,3.48,2.1,23,2.608,45,1.91,315,23,NULL,250,"1 pepper (3-1/2"" x 3-1/2"" x 2"")",
783156,Shepherd's Pie With Lamb,Meats,"https://www.seriouseats.com/thmb/eCKhQn-GyTrcgjoX27W-aAIiAFU=/1500x1125/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__recipes__images__2016__10__20161012-shepherds-pie-vicky-wasik-Version-A-21-ceea33d28eb440278d297b2cf60a9f32.jpg",122,5.04,6.98,12.47,1.42,1.4,17,1.347,17,0.79,297,18,NULL,243,1 cup,
783162,Stuffed Grape Leaves With Lamb And Rice,Meats,https://images.media-allrecipes.com/userphotos/5192753.jpg,266,21.21,8.23,11.86,2.34,3.3,26,5.324,106,1.83,194,38,NULL,21,1 roll,
783222,Chicken Fricassee Puerto Rican Style,Meats,https://i.ytimg.com/vi/2dQl9NsOaSo/maxresdefault.jpg,170,10.49,12.16,7.15,1.26,1.2,44,1.801,18,0.78,317,21,NULL,223,"1 cup, boneless",
783238,Stew Nfs,Meats,https://www.simplyrecipes.com/thmb/so3Wn09_WARMbgASNQnS8BCgV0U=/1800x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2015__03__irish-beef-stew-horiz-a2-1800-24f1087421414a77a25518c0897d7e23.jpg,90,3.96,5.23,8.25,1.58,1.2,14,1.433,14,1.75,206,12,NULL,252,1 cup,
783239,Goulash Nfs,Meats,https://tse4.mm.bing.net/th?id=OIP.ho0nuAFQpOIHvTR7QXmDJgHaFj&pid=Api&P=0&h=180,161,7.43,15.3,8.7,1.6,0.9,54,3.441,14,1.73,209,18,NULL,249,1 cup,
783253,Swiss Steak,Meats,https://tse4.mm.bing.net/th?id=OIP.la8czJVBjVyYDjBaEAl3PQHaE8&pid=Api&P=0&h=180,131,8.05,10.82,3.55,1.16,0.9,31,2.597,17,1.32,263,16,NULL,249,1 cup,
783268,Pepper Steak,Meats,https://www.allrecipes.com/thmb/nNbgtTe12-A9YS9Ox4D_IhmmSCQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/172704-chinese-pepper-steak-DDMFS-4x3-5e58e36f7885463799f1267671c8f066.jpg,143,8.99,11.84,4.36,1.75,0.7,32,2.014,16,1.19,196,16,NULL,217,1 cup,
783269,Beef Ground With Egg And Onion,Meats,https://i.ytimg.com/vi/GTr1TR2Zaj8/maxresdefault.jpg,228,14.53,21.86,1.05,0.54,0.1,104,5.501,26,2.13,270,18,NULL,190,1 cup,
783270,Beef Salad,Meats,https://tse2.mm.bing.net/th?id=OIP.HKB45cAs91CT3ctiRXHYwAHaFj&pid=Api&P=0&h=180,260,19.32,17.9,2.82,2.1,0.4,61,3.85,19,1.62,205,15,NULL,182,1 cup,
